,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
38,26083,1.0,1999/11/17,PROS:,1500,Prospecting Report on the Zeb Oro Property,1999,1999.0,,2000-11-17,,1999/11/17,9,Zeb Oro,092L02W:,092L006,50,1,55,126,48,50,9,5544472,656562,50.031944,-126.81388899999999,AU:,29.0,,VAN,4.0,ALBI:,Alberni,Alberni,Zeb Oro,"092L  022, 092L  023, 092L  024, 092L  025, 092L  026, 092L  027, 092L  130",Zeballos - Kyuquot Area,Zeb Oro,Prospecting,Prospecting,"03056, 03057",Zeb Oro Explorations Inc.,"Skoda, Edward","Skoda, Edward",Gold,"Quartz diorites, Diorites, Andesites",1500.0,1.416,1059.322034,1.112,1348.920863,0.9440000000000001,1588.983051,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26083
44,26084,1.0,1999/11/22,PROS:,1600,Prospecting Report on the Rubincon Property,1999,1999.0,,2000-11-22,,1999/11/22,9,Rubincon,092L02W:,092L007,50,0,38,126,45,21,9,5542217,660791,50.010556,-126.75583300000001,AU:,29.0,,VAN,4.0,ALBI:,Alberni,Alberni,Rubincon,092L  294,Zeballos - Kyuquot Area,Rubincon,Prospecting,Prospecting,12770,Rubincon Ventures Inc.,"Skoda, Edward","Skoda, Edward",Gold,Quartz diorites,1600.0,1.416,1129.943503,1.112,1438.848921,0.9440000000000001,1694.915254,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26084
66,26082,1.0,1999/11/22,PROS:,1800,Prospecting Report on the Zeb Au Property,1999,1999.0,,2000-11-22,,1999/11/22,8,Zeb Au,092L02W:,092L007,50,4,16,126,47,58,9,5548857,657468,50.071111,-126.799444,AU:,29.0,,VAN,4.0,ALBI:,Alberni,Alberni,Zeb Au,"092L  039, 092L  145",Zeballos - Kyuquot Area,Zeb Au,Prospecting,Prospecting,,Zeballos Mining Company,"Skoda, Edward","Skoda, Edward",Gold,"Limestones, Andesites",1800.0,1.416,1271.186441,1.112,1618.7050359999998,0.9440000000000001,1906.779661,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26082
257,26086,1.0,1999/8/20,GEOC:,3600,Geochemical Report on the King Property,1999,1999.0,,2000-08-20,,1999/8/20,25,King,092F02E:,092F017,49,6,59,124,36,30,10,5441640,382639,49.116389,-124.608333,,24.0,,VAN,3.0,ALBI:,Alberni,Alberni,"King,<br>King 1","092F  429, 092F  385, 092F  082, 092F  437",Sicker Belt,"King, King 1",Geochemical,Geochemical,"05354, 06138, 06643, 07600, 10194, 11988, 17222, 18400",Mandalay Resources Corporation,"Ruza, Lenka","Adamec, J. Duro",,"Paleozoic, Sicker Group, Pillow breccias, Agglomerates, Lapilli tuffs, Pillow basalts",5043.5,1.416,3561.7937850000003,1.112,4535.521583,0.9440000000000001,5342.690678,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26086
275,26312,1.0,2000/1/18,GEOL:,2000,Geological Assessment Report on the Monteith Bay Pyrophyllite Project,2000,1999.0,,2001-01-18,,2000/1/18,34,Monteith Pyrophyllite,092L03W:,092L014,50,7,34,127,17,6,9,5554061,622584,50.126111,-127.285,PL:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,Easy Three,"092L  117, 092L  343",Zeballos - Kyuquot Area,Easy Three,Geological,Geological,"04539, 08279, 11374, 12681, 23837",Homegold Resources Ltd.,"Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Jurassic, Bonanza Group, Andesites, Pyrophyllite, Clays",5542.5,1.4409999999999998,3846.2873,1.133,4891.879965,0.961,5767.429761,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26312
1162,26193,1.0,2000/1/27,GEOP:,6600,Airborne Geophysical Report on the Golden Eagle Property,2000,1999.0,,2001-01-27,,2000/1/27,32,Golden Eagle,104M15E:,104M087,59,49,1,134,43,7,8,6631058,515782,59.81694399999999,-134.718611,,,,SMI,3.0,ATLN:,Atlin,Atlin,Golden Eagle 1-4,"104M  057, 104M  027, 104M  071",,Golden Eagle 1-4,Geophysical,Geophysical,"15500, 18319, 18651",Prism Resources Inc.,"McMillan, Ronald H.","Walcott, Peter E.",,"Triassic, Stuhini Group, Volcaniclastic rocks, Limestones, Reinterpretations",5432.39,1.4409999999999998,3769.875087,1.133,4794.695499,0.961,5652.851197,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26193
2548,26089,1.0,1999/11/23,PROS:,3000,Prospecting Report on the 906 Property,1999,1999.0,,2000-11-23,,1999/11/23,12,906,093B15E:,093B098,52,58,0,122,32,39,10,5868660,530615,52.966667,-122.54416699999999,DE:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"906N,<br>906S,<br>906E,<br>906A,<br>906B",093B  023,,"906N, 906S, 906E, 906A, 906B",Prospecting,Prospecting,210,Dialite Industries Ltd.,"Poole, William E.","Poole, William E.",Diatomite,"Overburden, Diatomite, Basalts",3060.0,1.416,2161.016949,1.112,2751.798561,0.9440000000000001,3241.525424,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26089
3340,26276,1.0,2000/6/15,PHYS:,800,Trenching Report on the DotCom Property,2000,1999.0,,2001-06-15,,2000/6/15,20,DotCom,093A05E:,093A033,52,20,0,121,30,45,10,5799155,601355,52.333333,-121.5125,CU:AG:ZN:,,,PRG,4.0,CBOO:,Cariboo,Cariboo,Dot Com 7-10,,,Dot Com 7-10,Physical,Physical,,"Wahl, Herbert Joseph (FMC# 128059); Riepe, Rudy C.; Performance Minerals of Canada","Wahl, Herbert Joseph (FMC# 128059); Riepe, Rudy C.","Wahl, Herbert Joseph (FMC# 128059)","Copper, Silver, Zinc","Triassic, Overburden, Glacial drift, Sulphide boulders",10320.61,1.4409999999999998,7162.116586,1.133,9109.099735,0.961,10739.44849,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26276
3366,26095,1.0,1999/11/29,PHYS:GEOC:,6400,"Report of Enzyme Leach Survey and Related Work, Deerhorn (Rand) Project",1999,1999.0,,2000-11-29,,1999/11/29,69,Cariboo Rand,093A06W:,093A024,52,16,36,121,20,35,10,5793104,613044,52.276666999999996,-121.343056,CU:AU:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,Rand 2,,Cariboo - Quesnel Belt,Rand 2,"Physical,<br>Geochemical","Physical, Geochemical",5299,Performance Minerals of Canada,"Wahl, Herbert Joseph (FMC# 128059); Brown-John, Jack; Riepe, Rudy C.","Wahl, Herbert Joseph (FMC# 128059)","Copper, Gold","Glacial drift, Triassic, Nicola Group, Tuffs, Andesitic breccias",10563.79,1.416,7460.303672,1.112,9499.811151,0.9440000000000001,11190.45551,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26095
4259,26311,1.0,2000/5/18,DRIL:,27600,Assessment and Geological Report on the Dome Creek Slate Property,2000,1999.0,,2001-05-18,,2000/5/18,60,Dome Creek Slate,093H11E:,093H065:,53,41,50,121,0,33,10,5951676,631435,53.697222,-121.00916699999999,ST:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Dome,,,Dome,Drilling,Drilling,"15769, 16760",RJZ Mining Corporation,"Rogac, A.J.; Hatchard, Rex","Horachek, Yaro",Slate,"Hadrynian, Yankee Belle Formation, Cariboo Group, Slates, Slate",33453.0,1.4409999999999998,23215.128380000002,1.133,29526.03707,0.961,34810.613939999996,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26311
