,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
351,26412,1.0,2000/9/14,PROS:,6000,Magnetic Surveys on the Thunder Property,2000,1999.0,,2001-09-14,,2000/9/14,15,Thunder,092F05E:,092F033,49,21,51,125,34,4,10,5471111,313569,49.364167,-125.567778,,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,Thunder 4-6,"092F  067, 092F  449, 092F  450",Tofino - Kennedy River Area,Thunder 4-6,Prospecting,Prospecting,"09378, 12623, 16450, 19374, 20474, 24426","Telegus, John; Salmon, Simon","Telegus, John; Salmon, Simon","Telegus, John",,"Triassic-Jurassic, Karmutsen Formation, Island Intrusions, Granodiorites, Quartz diorites, Andesites, Pyrite, Galena, Chalcopyrite",7098.63,1.4409999999999998,4926.183206000001,1.133,6265.339806,0.961,7386.711759000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26412
354,25998,1.0,1999/8/31,GEOC:,4800,Assessment Report on the Tuzex Property,1999,1999.0,,2000-08-31,,1999/8/31,104,Tuzex,092C15E:,092C087,48,52,59,124,41,5,10,5415824,376489,48.883055999999996,-124.684722,CU:PB:ZN:AG:AU:,23.0,,VAN,3.0,ALBI:,Alberni,Alberni,"Tuzex,<br>Tuzex 1-2","092C  119, 092C  132",Sarita - Gordon River Area,"Tuzex, Tuzex 1-2",Geochemical,Geochemical,"02195, 04279, 07731, 11143, 13704, 17406, 17566, 19849, 21336, 21424, 24159, 24799, 25252, 25691","Wahl, Herbert Joseph (FMC# 128059); Ruza, Jaroslav","Wahl, Herbert Joseph (FMC# 128059); Ruza, Jaroslav","Wahl, Herbert Joseph (FMC# 128059)","Copper, Lead, Zinc, Silver, Gold","Jurassic, Bonanza Group, Flow breccias, Dacitic tuffs, Pyrite, Sphalerite, Pyrrhotite, Chalcopyrite",7095.89,1.416,5011.221751,1.112,6381.196043,0.9440000000000001,7516.832627,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25998
2353,25914,1.0,1999/3/5,GEOL:,1200,Geological Report on the Ben Property,1999,1999.0,,2000-03-05,,1999/3/5,20,Ben,093B09E:,093B060,52,35,50,122,4,5,10,5827874,563123,52.597221999999995,-122.068056,AU:AG:,37.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,Ben 1-6,,Gibraltar Area,Ben 1-6,Geological,Geological,"17481, 18674, 21309, 25512","Kahlert, Bernie H.","Kahlert, Bernie H.","Kahlert, Bernie H.","Gold, Silver","Cache Creek Complex, Limestones, Argillites, Cherts, Quartz breccias, Pyrite, Arsenopyrite",1644.47,1.416,1161.34887,1.112,1478.8399279999999,0.9440000000000001,1742.0233050000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25914
2356,26351,1.0,2000/7/18,PROS:,1000,Prospecting Report on the OLT Property,2000,1999.0,,2001-07-18,,2000/7/18,13,OLT,093H06W:,093H043,53,26,48,121,25,38,10,5923112,604453,53.446667000000005,-121.427222,ZN:PB:AG:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,OLT 1-5,,,OLT 1-5,Prospecting,Prospecting,"10607, 17766, 19084","MacArthur, Ronald G","MacArthur, Ronald G","MacArthur, Ronald G","Zinc, Lead, Silver","Ordovician-Mississippian, Black Stuart Formation, Quartzites, Limestones, Shales, Sedex deposit",1700.0,1.4409999999999998,1179.736294,1.133,1500.441306,0.961,1768.990635,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26351
2390,26357,1.0,2000/7/18,GEOL:,800,Assessment Report on the Apollo Property,2000,1999.0,,2001-07-18,,2000/7/18,13,Apollo,093H12E:,093H062,53,36,0,121,40,5,10,5939844,588141,53.6,-121.668056,PB:ZN:BA:AG:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Apollo 1-4,093H  136,,Apollo 1-4,Geological,Geological,"14999, 23339, 23887","MacArthur, Ronald G","MacArthur, Ronald G","MacArthur, Ronald G","Lead, Zinc, Barium/Barite, Silver","Triassic, Black Stuart Formation, Shales, Barite, Phyllites",2005.05,1.4409999999999998,1391.4295630000001,1.133,1769.682259,0.961,2086.420395,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26357
2444,25911,1.0,1999/5/25,PROS:,2200,Geological Report on the Murray Group,1999,1999.0,,2000-05-25,,1999/5/25,12,Murray,093G03W:,093G023,53,14,0,123,26,5,10,5898316,470983,53.233332999999995,-123.434722,,,,PRG,4.0,CBOO:,Cariboo,Cariboo,List 7-8,,,List 7-8,Prospecting,Prospecting,"25224, 25398, 25504, 25912, 25917","Poole, William E.","Poole, William E.","Poole, William E.",,"Granodiorites, Ultramafics, Andesites, Hornfels, Skarns",2350.0,1.416,1659.6045199999999,1.112,2113.309353,0.9440000000000001,2489.4067800000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25911
2445,25912,1.0,1999/5/25,PROS:,2200,Geological Report on the Murray Group,1999,1999.0,,2000-05-25,,1999/5/25,12,Murray,093G03W:,093G023,53,15,0,123,26,5,10,5900170,470995,53.25,-123.434722,,,,PRG,4.0,CBOO:,Cariboo,Cariboo,List 9-10,,,List 9-10,Prospecting,Prospecting,"25224, 25398, 25504, 25911, 25917","Poole, William E.","Poole, William E.","Poole, William E.",,"Granodiorites, Andesites, Ultramafics, Hornfels, Skarns",2350.0,1.416,1659.6045199999999,1.112,2113.309353,0.9440000000000001,2489.4067800000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25912
2604,26218,1.0,2000/4/10,GEOL:,1200,Exploration Report on the Dot Com Property,2000,1999.0,,2001-04-10,,2000/4/10,17,Dot Com,093A05E:,093A033,52,19,11,121,31,35,10,5797622,600439,52.319722,-121.526389,CU:AG:ZN:PB:,,,PRG,4.0,CBOO:,Cariboo,Cariboo,DotCom 1-6,,,DotCom 1-6,Geological,Geological,,"Riepe, Rudy C.","Wahl, Herbert Joseph (FMC# 128059); Riepe, Rudy C.","Wahl, Herbert Joseph (FMC# 128059)","Copper, Silver, Zinc, Lead","Triassic, Basalts, Native copper, Shear zones, Chalcocite",3492.62,1.4409999999999998,2423.747398,1.133,3082.630185,0.961,3634.3600420000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26218
2641,26266,1.0,2000/3/27,GEOC:,3600,Rock Geochemistry on the Spanish Creek Property,2000,1999.0,,2001-03-27,,2000/3/27,36,Spanish Creek,093A11W:,093A064,52,36,0,121,18,5,10,5829130,615041,52.6,-121.30138899999999,AU:AG:CU:PB:BI:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Heart,093A  074,,Heart,Geochemical,Geochemical,"14577, 17912, 21610, 22437, 23212, 23735, 24254, 24839","Matherly, Merle","Matherly, Merle; Paterson, Sheran","Paterson, Sheran","Gold, Silver, Copper, Lead, Bismuth","Hadrynian, Phyllites, Limestones, Quartz veins",3760.0,1.4409999999999998,2609.299098,1.133,3318.6231239999997,0.961,3912.591051,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26266
2857,26275,1.0,2000/6/20,PROS:,800,Prospecting Report on the Fox Property,2000,1999.0,,2001-06-20,,2000/6/20,25,Fox,093A02E:,093A008,52,2,30,120,30,35,10,5768600,670787,52.041667,-120.509722,WO:MO:ZN:,,,KAM,3.0,CBOO:,Cariboo,Cariboo,Fox 1-4,,,Fox 1-4,Prospecting,Prospecting,,"Ridley, David W. (FMC 122739)","Ridley, David W. (FMC 122739)","Ridley, David W. (FMC 122739)","Tungsten, Molybdenum/Molybdenite, Zinc","Paleozoic, Snowshoe Group, Quartz mica schists, Skarns, Quartz biotite schists, Calc-silicates",5725.0,1.4409999999999998,3972.935461,1.133,5052.956752,0.961,5957.3361079999995,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26275
2886,26188,1.0,1999/11/12,PHYS:GEOP:,5200,Geophysical Report (Ground Magnetic) on the Redgold Porphyry Copper Gold Prospect,2000,1999.0,,2000-11-12,,1999/11/12,25,Redgold,093A06W:,093A043,52,28,0,121,28,5,10,5814048,604069,52.466667,-121.468056,CU:AU:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"RG 1,<br>Shik 2-6",093A  058,Cariboo - Quesnel Belt,"RG 1, Shik 2-6","Physical,<br>Geophysical","Physical, Geophysical","17645, 18837, 19803, 20930, 22104, 24630, 24865, 25867","Morton, James W. (Bill) . (FMC# 118981); Durfeld, Rudolf M.","Morton, James W. (Bill) . (FMC# 118981); Durfeld, Rudolf M.","Durfeld, Rudolf M.","Copper, Gold","Triassic-Jurassic, Takla Group, Shiko Stock, Augite basalts, Tuff breccias, Siltstones, Basalts",5982.44,1.4409999999999998,4151.589174000001,1.133,5280.176523,0.961,6225.223725,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26188
