,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
116,31969,1.0,2010/9/26,GEOP:,2610,Assessment Report Tahsis Area Project,2010,2010.0,,2011-09-26,,2010/9/26,17,Tahsis,092E09W:,092E078:,49,44,39,126,29,31,9,5513206,680688,49.744167,-126.49194399999999,,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"534520,<br>534845,<br>549088,<br>566323,<br>574699",092E  020,Zeballos - Kyuquot Area,"534520, 534845, 549088, 566323, 574699",Geophysical,Geophysical,,"McCombs, Valerie","McCombs, Valerie","McLelland, David",,"Triassic, Eocene, Quatsino Formation, Mount Washington Plutonic Suite, Limestones, Quartz diorites",3265.0,1.709,1910.473961,1.3419999999999999,2432.9359170000002,1.138,2869.068541,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31969
263,31927,1.0,2010/10/17,GEOC:,6543,Prospecting and Technical Report on the Sally Property,2010,2010.0,,2011-10-17,,2010/10/17,34,Sally,092L02W:,092L016:,50,9,4,126,59,10,9,5557374,643871,50.151111,-126.98611100000001,,29.0,,NAN,4.0,ALBI:,Alberni,Alberni,563579,,Zeballos - Kyuquot Area,563579,Geochemical,Geochemical,,"Buddick, Vincent","Buddick, Vincent","Buddick, Vincent",,"Jurassic, Bonanza Group, Rhyolites, Island Intrusives",6200.64,1.709,3628.2270329999997,1.3419999999999999,4620.447094,1.138,5448.717047,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31927
396,31911,1.0,2010/8/31,PROS:,6636,Geological Report on the Churchill Property,2010,2010.0,,2011-08-31,,2010/8/31,27,Churchill-Hiller,092L02W:,092L006:,50,4,18,126,49,59,9,5548848,655061,50.071667,-126.833056,,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,508840,"092L  031, 092L  154",Zeballos - Kyuquot Area,508840,Prospecting,Prospecting,14457,Selkirk Metals Corp. (FMC# 231261),Selkirk Metals Corp. (FMC# 231261),"Hartmann, Samuel A.",,"Triassic, Jurassic, Quatsino Formation, Island Plutonic Suite, Granodiorites, Limestones, Marbles",9800.67,1.709,5734.739614,1.3419999999999999,7303.032787,1.138,8612.188049,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31911
500,32332,1.0,2010/9/11,GEOP:,13662,Remote Sensing Analyses on the G4G Property,2010,2010.0,,2011-09-11,,2010/9/11,16,G4G,092F03W:,092F004:,49,10,17,125,24,23,10,5449296,324603,49.171389000000005,-125.40638899999999,AU:AG:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Tommy,<br>Golden Gate,<br>Luke,<br>Luke 2","092F  033, 092F  044, 092F  045, 092F  047, 092F  048, 092F  049, 092F  050, 092F  052, 092F  096",Tofino - Kennedy River Area,"Tommy, Golden Gate, Luke, Luke 2",Geophysical,Geophysical,"05112, 09606, 11940, 12047, 14279, 15935, 16145, 16474, 16729, 18693, 31094",G4G Resources Ltd.,G4G Resources Ltd.,"McLelland, David","Gold, Silver","Karmutsen Formation, Island Plutonic Suite, Triassic, Volcanics, Basalts, Granodiorites",13664.9,1.709,7995.845523999999,1.3419999999999999,10182.48882,1.138,12007.820740000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32332
573,31738,1.0,2010/4/17,PHYS:GEOC:,25899,2010 Work Program Grid Work and Soil Geochemistry on the Island Copper Claim,2010,2010.0,,2011-04-17,,2010/4/17,59,Island Copper,092F01W:,092F008:,49,4,47,124,27,50,10,5437350,393100,49.079722,-124.463889,,,,NAN,3.0,ALBI:,Alberni,Alberni,597761,"092F  182, 092F  462",,597761,"Physical,<br>Geochemical","Physical, Geochemical","06585, 07834, 07953, 08487, 15939, 26778",Crossfire Ventures Ltd.,Crossfire Ventures Ltd.,"Caron, Linda J.",,"Jurassic, Devonian, McLaughlin Ridge Formation, Island Plutonic Suite, Granodiorites, Volcaniclastics",18385.78,1.709,10758.20948,1.3419999999999999,13700.283159999999,1.138,16156.221440000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31738
631,31891,1.0,2010/9/17,GEOC:,34285,Geochemical Assessment Report,2010,2010.0,,2011-09-17,,2010/9/17,37,Catface NE,092F05W:,092F031:,49,19,0,125,53,0,10,5466659,290459,49.316666999999995,-125.88333300000001,,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Cc 1-3,<br>Cc 5-6,<br>Cc 13-14","092F  120, 092F  231, 092F  251",Tofino - Kennedy River Area,"Cc 1-3, Cc 5-6, Cc 13-14",Geochemical,Geochemical,"19330, 19766, 20561, 17670, 27773, 16667",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Hartmann, Samuel A.",,"Paleozoic, Sicker Group, Pyroclastics, Basalts, Karmutsen Formation, Gabbro dykes, Diorite dykes, Permian",25812.88,1.709,15104.08426,1.3419999999999999,19234.634869999998,1.138,22682.67135,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31891
646,31700,1.0,2010/6/7,PHYS:GEOP:,1439,Magnetic Surveys on the Redford Property,2010,2010.0,,2011-06-07,,2010/6/7,21,Redford,092F06W:,092F043:,49,2,53,125,25,59,10,5435650,322215,49.048056,-125.43305600000001,FE:AU:,,,NAN,3.0,ALBI:,Alberni,Alberni,Gege,092F  001,,Gege,"Physical,<br>Geophysical","Physical, Geophysical","13103, 14704, 15637, 17400, 18150, 22608, 25831, 27530, 30537, 31392",Logan Resources Ltd.,Logan Resources Ltd.,"Le Bel, J.L.","Iron, Gold","Jurassic, Triassic, Vancouver Group, Karmutsen Formation, Quatsino Formation, Bonanza Group, Island Plutonic Suite, Granites, Granodiorites, Magnetite, Parson Bay Formation",29011.83,1.709,16975.90989,1.3419999999999999,21618.3532,1.138,25493.69947,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31700
738,32165,1.0,2011/4/13,GEOP:,49284,Geophysical Survey on the Hisnit Property,2010,2010.0,,2012-04-13,,2011/4/13,51,Hisnit,092E10E:,092E078:,49,44,18,126,31,51,9,5512464,677908,49.738333000000004,-126.530833,CU:MO:AU:AG:,,,NAN,3.0,ALBI:,Alberni,Alberni,"Angela 1,<br>Argo 1-2,<br>West Extension",,,"Angela 1, Argo 1-2, West Extension",Geophysical,Geophysical,"29909, 31749",Compliance Energy Corporation,Compliance Energy Corporation,"Houle, Jacques (FMC 137830)","Copper, Molybdenum/Molybdenite, Gold, Silver","Paleozoic-Jurassic, West Coast Complex, Parson Bay Formation, Quatsino Formation, Limestones, Marbles, Intrusive rocks",49292.96,1.709,28843.15974,1.3419999999999999,36730.9687,1.138,43315.43058,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32165
834,31662,1.0,2010/6/17,GEOL:GEOP:GEOC:,23431,Geochemical and Geophysical Surveys on the Kennedy River Property,2010,2010.0,,2011-06-17,,2010/6/17,154,Kennedy River,092F03W:,092F013:,49,8,31,125,25,51,10,5446080,322716,49.141944,-125.430833,AU:,25.0,,NAN,4.0,ALBI:,Alberni,Alberni,"564455,<br>564456,<br>564457,<br>564458,<br>564459,<br>564460,<br>565598,<br>573142,<br>573141,<br>606514,<br>767742",092F  392,Tofino - Kennedy River Area,"564455, 564456, 564457, 564458, 564459, 564460, 565598, 573142, 573141, 606514, 767742","Geological,<br>Geophysical,<br>Geochemical","Geological, Geophysical, Geochemical","12304, 12476, 16473, 22625, 23901, 30944",Gonzaga Resources Ltd.,"Von Einsiedel, Carl Alexander","Von Einsiedel, Carl Alexander",Gold,"Triassic, Karmutsen Formation, Quatsino Formation, Jurassic, Dacitic tuffs, Quartz veins",99281.75,1.709,58093.47572,1.3419999999999999,73980.43964,1.138,87242.31107000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31662
913,31894,1.0,2010/9/12,DRIL:PHYS:GEOC:,119513,Diamond Drilling and Road Reactivation Report,2010,2010.0,,2011-09-12,,2010/9/12,259,Catface Copper,092F05W:,092F021:,49,15,42,125,59,6,10,5460833,282830,49.261666999999996,-125.985,CU:MO:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Catface 8,<br>Catface 47,<br>Catface 50","092F  120, 092F  231, 092F  251",Tofino - Kennedy River Area,"Catface 8, Catface 47, Catface 50","Drilling,<br>Physical,<br>Geochemical","Drilling, Physical, Geochemical","00540, 00541, 00580, 27773, 28725, 31052",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Corlazzoli, Jason","Copper, Molybdenum/Molybdenite","Eocene, Catface Intrusions, Quartz monzonites, Triassic, Karmutsen Formation, Volcanics, Chalcopyrite, Bornite, Molybdenite",1166184.25,1.709,682378.1451,1.3419999999999999,868989.7541,1.138,1024766.4759999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31894
968,32204,1.0,2010/12/14,DRIL:GEOC:,195215,Diamond Drilling and Geochemical Report on the Mineral Creek Property,2011,2010.0,,2011-12-14,,2010/12/14,537,Mineral Creek,092F02E:,092F017:,49,10,59,124,40,5,10,5449145,378444,49.183056,-124.668056,,24.0,,NAN,3.0,ALBI:VICT:,"Alberni,<br>Victoria","Alberni, Victoria","Big Southeaster,<br>502486,<br>504390,<br>511039,<br>511042,<br>511047,<br>511064,<br>511098,<br>570433,<br>570437,<br>571458,<br>696884,<br>735322,<br>704736","092F  078, 092F  079, 092F  331",Sicker Belt,"Big Southeaster, 502486, 504390, 511039, 511042, 511047, 511064, 511098, 570433, 570437, 571458, 696884, 735322, 704736","Drilling,<br>Geochemical","Drilling, Geochemical","04915, 05443, 06153, 07984, 08249, 08289, 09111, 10176, 10206, 11278, 12563, 12664, 13214, 13700, 13759, 13934, 14201, 14389, 14483, 14768, 14869, 14876, 15016, 15196, 15368, 15909, 16144, 16631, 17110, 17552, 18314, 18936, 19586, 20105, 22378, 22869, 27213, 27351, 27470, 27592, 27648, 28153, 28219, 28254, 28255, 28436, 29065, 29733, 30212",Bitterroot Resources Ltd.,Bitterroot Resources Ltd.,"Greig, Charles J. (FMC #143767); Rowe, Jeffrey D.",,"Devonian-Triassic, Duck Lake Formation, Karmutsen Formation, Mount Mark Formation, Buttle Lake Group, Mount Hall Gabbro, Island Plutonic Suite, Basalts, Quartz diorites, Gabbros, Limestones, Sedimentary rocks",1320448.0,1.75,754541.7143,1.374,961024.7453,1.165,1133431.76,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32204
996,32412,1.0,2011/4/11,GEOP:,2254,Geophysical Survey with 2D Resistivity on the Bingo Property,2011,2010.0,,2012-04-11,,2011/4/11,16,Bingo,104N11W:,104N063:,59,36,5,133,29,16,8,6607992,585356,59.601389000000005,-133.487778,,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,"566534,<br>573637",,Atlin Camp,"566534, 573637",Geophysical,Geophysical,13918,"Scott, B.M.; Dendys, Alan","Martindale, Mardell","Moll, Philipp; Ostermaier, Stefan",,"Mississippian-Permian, Cache Creek Complex, Nakina Formation, Basalts, Greenstones",2255.0,1.75,1288.5714289999999,1.374,1641.193595,1.165,1935.622318,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32412
1224,31500,1.0,2010/2/12,GEOP:,9869,Wann River - Northwest End Edgar Lake Magnetometer Survey,2010,2010.0,,2011-02-12,,2010/2/12,45,Edgar Lake,104M08E:,104M050:,59,25,1,134,11,6,8,6586764,546256,59.416943999999994,-134.185,,,,SMI,3.0,ATLN:,Atlin,Atlin,"597566,<br>525445,<br>597560",,,"597566, 525445, 597560",Geophysical,Geophysical,,Blind Creek Resources Ltd.,Blind Creek Resources Ltd.,"Aspinall, Nicholas Clive",,"Triassic, Stuhini Group, Basalts, Digital data ground geophysics, Digital data geochemistry",8143.55,1.709,4765.0965479999995,1.3419999999999999,6068.219075999999,1.138,7156.019331999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31500
